,Pos,Salary,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference,Division,FG&
0,PF,2711280.0,21.0,MIA,61.0,4.0,12.1,2.0,3.7,0.544,0.0,0.0,0.0,2.0,3.7,0.546,0.544,0.9,1.8,0.509,1.2,2.2,3.4,0.5,0.6340579710144928,0.5,0.7,1.5,5.0,Eastern Conference,Southeast Division,0.544
1,PG,9100448.459183674,24.0,ORL,7.0,0.0,2.6,0.1,1.1,0.125,0.0,0.3,0.0,0.1,0.9,0.167,0.125,0.0,0.0,0.754476923076923,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3,Eastern Conference,Central Division,0.125
2,C,17073171.0,27.0,ORL,58.0,58.0,27.7,3.3,5.3,,0.9538461538461539,2.7007246376811596,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.754476923076923,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,Western Conference,Southwest Division,0.4327323943661972
3,C,28103550.0,23.0,MIA,64.0,64.0,33.5,7.1,12.5,0.57,0.0,0.1,0.25,7.1,12.4,0.573,0.571,4.4,1.8856115107913671,0.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,Eastern Conference,Southeast Division,0.57
4,C,2641691.0,35.0,SAS,21.0,18.0,25.9,5.5,11.8,0.464,0.9538461538461539,3.6,0.36,4.2,8.2,0.509,0.5006492537313433,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0654676258992806,1.7,8.87410071942446,Western Conference,Southwest Division,0.464
5,SG,3261480.0,25.872340425531913,NOP,46.0,13.0,21.9,4.2,10.0,0.419,1.7,2.7007246376811596,0.347,2.5,5.2,0.485,0.5006492537313433,1.0,1.4,0.727,0.3,2.8,3.1,1.7468965517241377,1.0,0.5,1.5,1.9,11.0,Western Conference,Southwest Division,0.419
6,SG,4054695.0,25.872340425531913,MEM,50.0,38.0,25.2,3.5,7.287769784172662,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.754476923076923,0.4,2.8,3.2,2.2,0.9,0.2,1.0654676258992806,1.4,10.6,Western Conference,Southwest Division,0.418
7,C,20000000.0,22.0,CLE,51.0,40.0,30.3,5.0,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.49312408759124093,0.616,3.1,4.5,0.69,0.974468085106383,6.8,3.972413793103448,1.7,0.6340579710144928,1.4,1.5,1.5,13.2,Eastern Conference,Central Division,0.609
8,PF,9100448.459183674,30.0,ORL,17.0,14.0,21.6,2.1,7.287769784172662,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1.0,0.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.6391304347826086,5.5,Eastern Conference,Southeast Division,0.404
9,SF,9100448.459183674,30.0,ORL,6.0,0.0,11.2,0.3,1.7,0.2,0.9538461538461539,1.0,0.167,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0.0,0.5,1.2,1.5,Eastern Conference,Central Division,0.2
10,PF,9937150.0,27.0,ORL,69.0,69.0,27.3,4.5,9.5,0.468,1.4,3.8,0.36,2.249285714285714,5.8,0.539,0.54,2.1,2.7,0.783,0.8,3.0129496402877693,5.7,3.6,1.2,0.8,1.2,1.7,12.4,Eastern Conference,Southwest Division,0.468
11,PF,39344970.0,26.0,MIL,61.0,,33.0,3.28,18.0,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.5006492537313433,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,1.0654676258992806,2.8,28.1,Eastern Conference,Central Division,0.569
12,PF,9100448.459183674,25.872340425531913,LAL,15.0,0.0,3.7,0.2,0.7,0.3,0.0,2.7007246376811596,0.2928267716535433,0.2,0.7,0.3,0.5006492537313433,0.4,0.9,0.754476923076923,0.3,1.0,3.972413793103448,0.1,0.1,0.3,0.7,0.5,8.87410071942446,Western Conference,Pacific Division,0.3
13,SF,1729217.0,28.0,MIL,57.0,3.0,20.094890510948904,1.2,2.4,0.489,0.9538461538461539,0.5,0.241,1.1,1.9,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,Eastern Conference,Central Division,0.489
14,PF,2641691.0,36.0,POR,3.0,3.0,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2.8,6.6,0.429,0.506,2.0,1.8856115107913671,0.89,0.5,2.6,3.1,1.5,0.7,0.6,0.9,1.6391304347826086,13.4,Western Conference,Northwest Division,0.421
15,PG,3449400.0,20.0,ORL,47.0,34.0,27.1,3.28,11.7,0.397,1.2,2.7007246376811596,0.337,3.4,8.1,0.424,0.449,2.3,2.8,0.832,0.8,3.9,4.7,4.1,0.6340579710144928,0.4,2.3,2.1,12.9,Eastern Conference,Southeast Division,0.397
16,SF,9100448.459183674,23.0,TOR,43.0,43.0,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6.0,0.49312408759124093,0.58,1.4921428571428574,2.4,0.754476923076923,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,Eastern Conference,Atlantic Division,0.48
17,PG,9100448.459183674,26.0,CHI,44.0,0.0,10.2,1.1,2.7,0.419,0.6,1.5,0.373,0.5,1.1,0.48,0.526,0.3,1.8856115107913671,0.65,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1,Eastern Conference,Central Division,0.419
18,SF,2641691.0,25.872340425531913,MIA,30.0,27.0,28.0,3.3,8.0,0.411,0.9538461538461539,4.8,0.35,1.6,3.3,0.5,0.5006492537313433,1.1,1.5,0.754476923076923,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4,Eastern Conference,Southeast Division,0.411
19,PG,7622467.0,33.0,MIL,37.0,6.0,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1.0,1.1,0.9,0.3,3.0129496402877693,1.4,3.0,0.5,0.0,0.9,0.9,6.1,Eastern Conference,Central Division,0.37
20,PG,7622467.0,33.0,HOU,20.0,6.0,20.8,3.2,7.6,0.424,1.7,4.4,0.386,1.5,3.2,0.476,0.536,2.5,2.7,0.907,0.5,1.8,2.2,3.9,0.4,0.0,1.6,1.2,10.6,Western Conference,Central Division,0.424
21,SF,4692840.0,20.0,WAS,54.0,32.0,23.3,2.4,5.8,0.417,1.0,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,Eastern Conference,Southeast Division,0.417
22,C,2075880.0,21.0,UTA,15.0,0.0,3.8,0.3,0.6,0.444,0.0,0.0,0.2928267716535433,0.3,0.6,0.444,0.444,0.5,0.7,0.8,0.3,0.6,0.9,0.0,0.6340579710144928,0.3,0.2,0.6,1.1,Western Conference,Northwest Division,0.444
23,SG,9100448.459183674,25.0,ORL,72.0,50.0,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.443,2.0,2.4,0.754476923076923,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.6391304347826086,10.9,Eastern Conference,Southeast Division,0.402
24,PF,11312114.0,21.0,SAC,43.0,42.0,25.9,5.7,11.4,0.504,0.9,2.5,0.343,4.9,8.9,0.55,0.542,1.8,3.1,0.575,2.5,4.9,7.4,1.0,0.5,0.5,1.0654676258992806,2.3,14.1,Western Conference,Pacific Division,0.504
25,PG,18604651.0,23.0,NOP,55.0,55.0,31.8,5.3,12.7,0.414,0.9538461538461539,8.3,0.378,2.249285714285714,4.5,0.482,0.537,0.9,1.2,0.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6,Western Conference,Southwest Division,0.414
26,C,7568742.0,22.0,ORL,46.0,5.0,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4.0,0.49312408759124093,0.535,1.0,1.4,0.682,1.7,4.1,5.8,0.8,0.3,0.44592592592592595,0.8,1.9,8.0,Eastern Conference,Southeast Division,0.472
27,SG,2033160.0,22.0,ORL,68.0,17.0,22.3,3.4,7.3,0.469,1.7,4.0,0.2928267716535433,1.7,3.4,0.513,0.586,0.6,0.7,0.816,0.5,2.6,3.972413793103448,1.7,0.6,0.2,0.9,1.8,9.2,Western Conference,Southwest Division,0.469
28,PF,20284091.0,28.0,SAC,58.0,,36.2,5.5,11.1,0.497,1.7,4.4,0.391,3.8,6.7,0.567,0.5006492537313433,3.4,4.1,0.83,1.1,5.5,6.6,1.7468965517241377,0.7,0.2,1.6,1.3,16.1,Eastern Conference,Pacific Division,0.497
29,SG,8623920.0,20.0,NYK,72.0,72.0,34.9,6.5,14.7,0.441,0.9538461538461539,4.3,0.401,4.8,10.4,0.49312408759124093,0.499,2.9,3.8,0.746,0.9,4.8,5.8,3.0,0.6340579710144928,0.3,1.9,2.6,17.6,Eastern Conference,Atlantic Division,0.441
30,SG,15384615.0,30.0,DEN,56.0,52.0,31.0,4.6,10.9,0.426,1.8,4.6,0.381,2.9,6.3,0.459,0.507,1.7,2.2,0.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7,Western Conference,Central Division,0.426
31,SF,9100448.459183674,25.0,SAS,30.0,0.0,8.2,1.0,2.2,0.448,0.2,0.6,0.294,0.8,1.7,0.5,0.485,0.5,0.7,0.667,0.974468085106383,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6,Western Conference,Southwest Division,0.448
32,SF,12213507.0,32.0,LAC,67.0,,27.4,2.9,6.1,0.464,1.6,4.1,0.404,1.2,2.1,0.49312408759124093,0.597,0.7,0.9,0.828,0.7,4.0,4.7,1.7468965517241377,1.0,0.6,0.8,1.5,8.87410071942446,Western Conference,Pacific Division,0.464
33,C,9100448.459183674,34.0,TOR,53.0,31.0,18.5,2.5,5.7,0.441,0.5,1.9,0.262,2.0,3.8,0.49312408759124093,0.485,0.5,1.8856115107913671,0.707,0.974468085106383,3.5,5.2,0.9,0.3,0.4,0.9,1.6391304347826086,6.1,Eastern Conference,Atlantic Division,0.441
34,SF,2401537.0,31.0,GSW,67.0,18.0,19.9,2.6,5.9,,1.1,2.7,0.408,1.5,3.1,0.486,0.545,0.8,1.8856115107913671,0.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,8.87410071942446,Western Conference,Pacific Division,0.4327323943661972
35,PF,9100448.459183674,20.0,OKC,55.0,55.0,31.2,5.0,12.5,0.396,1.5,5.2,0.29,3.5,7.3,0.47,0.456,2.3,3.2,0.702,0.9,6.3,7.2,1.7468965517241377,0.5,0.5,2.2,1.1,13.7,Western Conference,Northwest Division,0.396
36,SG,9100448.459183674,27.0,ORL,60.0,60.0,35.8,11.2,23.0,0.485,2.2,6.2,0.349,9.0,16.8,0.535,0.532,6.8,1.8856115107913671,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,Eastern Conference,Southeast Division,0.485
37,SG,14391964.0,24.0,MIN,37.0,36.0,32.8,7.1,16.2,,3.5,8.7,0.399,3.7,7.5,0.487,0.547,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.6340579710144928,0.44592592592592595,1.6,1.7,19.6,Eastern Conference,Northwest Division,0.4327323943661972
38,C,9100448.459183674,26.0,WAS,5.0,1.0,13.4,1.4,4.0,0.35,0.0,0.4,0.0,1.4,3.6,0.389,0.35,0.0,0.0,0.754476923076923,1.2,2.6,3.8,1.0,0.6,0.6,0.6,1.0,2.8,Eastern Conference,Southeast Division,0.35
39,C,9100448.459183674,26.0,GSW,1.0,0.0,15.0,0.0,7.287769784172662,0.0,0.0,0.0,0.2928267716535433,0.0,2.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.6340579710144928,2.0,1.0,2.0,8.87410071942446,Western Conference,Pacific Division,0.0
40,SF,2541217.0,26.0,TOR,51.0,12.0,20.094890510948904,3.28,4.5,0.513,0.3,1.0,0.264,2.0,4.4875,0.49312408759124093,0.544,0.9,1.3,0.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7,Eastern Conference,Atlantic Division,0.513
41,SF,16000000.0,28.0,WAS,57.0,7.0,25.7,3.4,8.4,,3.0,2.7007246376811596,0.395,0.4,4.4875,0.48,0.581,1.8,2.0,0.754476923076923,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5,Eastern Conference,Southeast Division,0.4327323943661972
42,PG,14320988.0,25.872340425531913,LAC,37.0,34.0,20.094890510948904,2.5,5.9,0.423,1.5,3.8,0.397,1.0,2.1,0.468,0.55,1.0,1.2,0.8,0.8,2.4,3.2,2.1,0.8,0.8,0.9,1.6391304347826086,7.5,Western Conference,Pacific Division,0.423
43,SF,9100448.459183674,21.0,DET,70.0,53.0,27.3,4.0,9.9,0.404,2.5,6.6,0.38,1.5,3.3,0.45,0.53,1.8,2.1,0.844,0.6,3.9,4.5,1.4,0.7,0.44592592592592595,0.9,1.6,12.2,Eastern Conference,Central Division,0.404
44,SF,9100448.459183674,25.872340425531913,DAL,0.0,0.0,3.9,3.28,1.2,0.318,0.1,0.2,0.25,0.3,1.0,0.333,0.5006492537313433,0.2,1.8856115107913671,0.6,0.4,0.6,1.1,0.2,0.6340579710144928,0.1,0.2,1.6391304347826086,8.87410071942446,Western Conference,Southwest Division,0.318
45,PG,6350000.0,28.0,ORL,48.0,5.0,19.8,2.0,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,Eastern Conference,Southeast Division,0.45
46,C,6350000.0,28.0,ORL,19.0,17.0,30.4,5.0,9.0,0.556,0.5,1.6,0.29,4.5,7.4,0.614,0.582,1.5,2.3,0.636,3.0,4.6,7.6,1.9,0.8,1.2,1.1,2.4,8.87410071942446,Eastern Conference,Atlantic Division,0.556
47,C,3098400.0,21.0,IND,45.0,3.0,12.5,1.8,4.3,0.428,0.4,1.8,0.253,1.4,2.6,0.548,0.479,1.0,1.4,0.738,1.3,2.0,3.3,0.8,0.6340579710144928,1.3,0.4,2.1,5.1,Eastern Conference,Central Division,0.428
48,PF,2089448.0,32.0,SAC,26.0,1.0,16.9,3.28,5.8,0.46,0.7,2.2,0.293,2.249285714285714,3.5,0.565,0.517,1.2,1.6,0.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2,Western Conference,Pacific Division,0.46
49,PF,9100448.459183674,25.872340425531913,MIA,11.0,2.0,14.2,1.8,4.2,0.435,0.9,2.5,0.37,0.9,1.7,0.526,0.5006492537313433,0.5,0.8,0.556,0.5,2.0,2.5,1.8,0.6,0.3,0.5,1.8,5.0,Eastern Conference,Southeast Division,0.435
50,SG,18125000.0,31.0,NOP,71.0,70.0,29.7,3.28,10.3,,0.9538461538461539,5.0,0.341,2.6,4.4875,0.496,0.503,1.9,2.7,0.687,0.4,3.0129496402877693,3.972413793103448,3.8,0.8,0.3,1.6,1.6,12.2,Western Conference,Southwest Division,0.4327323943661972
51,SF,9100448.459183674,25.0,POR,17.0,0.0,4.4,0.3,1.2,0.25,0.1,0.5,0.25,0.2,0.7,0.25,0.3,1.4921428571428574,0.0,0.754476923076923,0.974468085106383,0.4,0.6,0.2,0.1,0.0,0.3,0.5,8.87410071942446,Western Conference,Northwest Division,0.25
52,SG,18000000.0,28.0,ATL,44.0,27.0,29.7,6.1,12.8,0.473,0.9538461538461539,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1.0,0.909,0.5,3.2,3.6,3.3,1.1,0.44592592592592595,1.2,2.3,16.4,Eastern Conference,Southeast Division,0.473
53,SF,18700000.0,31.0,UTA,72.0,72.0,30.8,5.6,7.287769784172662,0.439,2.5,2.7007246376811596,0.39,3.1,6.4,0.487,0.536,3.2,3.7,0.879,0.6,3.3,3.9,1.9,0.6,0.1,1.0654676258992806,1.6,8.87410071942446,Western Conference,Northwest Division,0.439
54,PF,2161152.0,21.0,DEN,32.0,2.0,20.094890510948904,0.8,1.8,0.431,0.3,0.8,0.375,0.5,1.1,0.471,0.509,0.3,0.5,0.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,Western Conference,Central Division,0.431
55,C,9100448.459183674,22.0,CLE,6.0,0.0,4.8,0.2,0.5,0.333,0.0,0.0,0.2928267716535433,0.2,0.5,0.333,0.5006492537313433,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,1.6391304347826086,1.2,Eastern Conference,Central Division,0.333
56,PG,9100448.459183674,23.0,ORL,14.0,0.0,14.0,1.6,7.287769784172662,0.426,0.7,2.3,0.313,2.249285714285714,1.6,0.591,0.519,1.4921428571428574,0.0,0.754476923076923,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,Eastern Conference,Southeast Division,0.426
57,SF,1729217.0,21.0,WAS,40.0,,10.8,0.8,2.0,0.37,0.3,2.7007246376811596,0.277,0.4,0.9,0.5,0.451,0.1,0.2,0.625,0.974468085106383,1.2,1.7,0.6,0.3,0.2,0.6,1.6,8.87410071942446,Eastern Conference,Southeast Division,0.37
58,C,7009615.0,28.0,TOR,60.0,14.0,24.2,4.8,9.3,0.514,1.5,3.9,0.383,3.3,5.4,0.609,0.595,2.5,3.2,0.788,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,Eastern Conference,Atlantic Division,0.514
59,SF,9100448.459183674,22.0,IND,6.0,0.0,2.5,0.2,0.7,0.25,0.0,0.2,0.0,0.2,0.5,0.333,0.25,0.2,0.2,1.0,0.974468085106383,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5,Eastern Conference,Central Division,0.25
60,SF,2641691.0,30.0,MIA,1.0,1.0,21.1,3.28,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.5006492537313433,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,1.0654676258992806,2.6,8.5,Eastern Conference,Southeast Division,0.47
61,SG,2641691.0,30.0,HOU,17.0,5.0,23.0,3.28,6.2,,1.0,3.7,0.27,0.9,4.4875,0.49312408759124093,0.395,0.3,0.4,0.833,0.974468085106383,1.9,2.3,1.9,0.8,0.1,1.1,1.7,5.2,Western Conference,Southwest Division,0.4327323943661972
62,C,9100448.459183674,23.0,ORL,20.0,8.0,14.4,2.6,3.8,0.68,0.0,0.1,0.0,2.6,3.7,0.689,0.5006492537313433,0.4,0.6,0.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5,Eastern Conference,Atlantic Division,0.68
63,C,1789256.0,23.0,OKC,22.0,0.0,18.0,3.6,5.5,0.656,0.9538461538461539,0.1,0.0,3.6,5.5,0.667,0.656,1.4,2.0,0.705,2.1,4.0,6.1,0.9,0.4,0.8,1.2,1.5,8.7,Western Conference,Central Division,0.656
64,PF,9100448.459183674,24.0,UTA,28.0,0.0,4.9,0.9,1.9,0.481,0.9538461538461539,1.0,0.429,0.5,0.9,0.542,0.596,0.1,0.1,1.0,0.3,3.0129496402877693,1.0,0.5,0.3,0.1,0.3,0.6,2.3,Western Conference,Northwest Division,0.481
65,SF,9100448.459183674,22.0,NYK,4.0,0.0,1.8,0.0,0.3,0.0,0.0,0.0,0.2928267716535433,0.0,0.3,0.0,0.5006492537313433,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.6340579710144928,0.44592592592592595,1.0654676258992806,0.0,0.5,Eastern Conference,Atlantic Division,0.0
66,SF,9100448.459183674,22.0,PHI,1.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.4875,0.49312408759124093,0.0,0.0,1.8856115107913671,0.754476923076923,0.0,2.0,2.0,0.0,0.0,0.44592592592592595,0.0,0.0,0.0,Eastern Conference,Central Division,0.0
67,SF,9100448.459183674,22.0,ORL,8.0,0.0,29.3,4.4,9.9,0.443,1.4,2.7007246376811596,0.407,2.249285714285714,6.5,0.462,0.513,1.0,1.5,0.667,1.3,3.9,5.1,2.0,0.5,0.4,1.4,1.6391304347826086,11.1,Eastern Conference,Southeast Division,0.443
68,C,9100448.459183674,26.0,IND,5.0,0.0,5.8,1.0,7.287769784172662,,0.0,0.0,0.2928267716535433,1.0,1.6,0.49312408759124093,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,Eastern Conference,Central Division,0.4327323943661972
69,SF,1701593.0,22.0,IND,21.0,16.0,24.7,3.5,7.2,0.483,1.6,3.7,0.423,1.9,4.4875,0.548,0.593,2.4,3.1,0.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9,Eastern Conference,Central Division,0.483
70,PG,21700000.0,28.0,IND,56.0,56.0,34.5,7.9,17.5,0.453,2.6,6.7,0.388,5.3,10.8,0.493,0.527,1.4921428571428574,3.2,0.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2,Eastern Conference,Central Division,0.453
71,SG,1625991.0,22.0,HOU,20.0,5.0,26.0,3.9,9.6,0.406,3.0,7.9,0.382,0.9,4.4875,0.49312408759124093,0.563,1.4921428571428574,0.6,0.583,0.5,2.9,3.4,1.7468965517241377,0.6,0.3,1.1,1.7,11.2,Western Conference,Southwest Division,0.406
72,SF,9100448.459183674,25.0,ORL,67.0,67.0,29.8,6.4,15.4,0.419,1.9,5.6,0.344,4.5,9.8,0.461,0.481,2.4,2.9,0.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,1.6391304347826086,17.2,Western Conference,Southwest Division,0.419
73,SG,9100448.459183674,23.0,OKC,9.0,1.0,16.9,1.4,4.8,0.302,0.6,2.3,0.238,0.9,2.4,0.364,0.36,1.0,1.1,0.9,0.974468085106383,1.6,1.9,1.0,0.4,0.2,0.7,2.1,4.4,Western Conference,Northwest Division,0.302
74,SG,24830357.0,24.0,BOS,58.0,58.0,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,4.4875,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,Eastern Conference,Atlantic Division,0.484
75,C,1720779.0,21.0,OKC,43.0,,20.094890510948904,3.4,7.287769784172662,0.545,0.9538461538461539,0.0,0.2928267716535433,3.4,6.2,0.545,0.545,1.8,2.9,0.619,3.6,3.0129496402877693,8.9,0.2,0.7,1.1,1.0,1.6391304347826086,8.6,Western Conference,Northwest Division,0.545
76,SG,3000000.0,25.0,HOU,51.0,,24.1,2.9,6.6,,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,Eastern Conference,Central Division,0.4327323943661972
77,SF,5170564.0,21.0,ORL,21.0,0.0,20.094890510948904,1.6,4.2,0.371,0.7,2.2,0.304,0.9,2.0,0.442,0.5006492537313433,1.4921428571428574,0.7,0.667,0.974468085106383,2.4,2.9,0.9,0.1,0.44592592592592595,0.8,1.4,4.3,Eastern Conference,Southeast Division,0.371
